nomeCliente,sexoCliente,cpfCliente,rgCliente,marcaVeicCliente,anoVeicCliente,corVeicCliente,veicCliente,placaVeicCliente,renavamVeicCliente,Status
Dolgil,Feminino,65414280002,100505296,Land Rover,2011,Dourado,Discovery4 B&W 3.0 4x4 TDV6 Diesel Aut.,HVY-7349,33541186074,
Tevoiul,Feminino,53355706019,497338634,LAMBORGHINI,2009,Marrom,Gallardo Spider LP560-4,MYI-8048,14795895747,
Saeltyugwend,Feminino,98308674046,311192312,Lada,1998,Azul,Niva 1.7i 4x4,KEA-5649,71619412770,
Qethbemiu,Feminino,64014355004,181353520,Nissan,2003,Laranja,XTerra XE 4x4 2.8 132cv TB Int. Diesel,JYC-3492,83311622421,
Muas,Feminino,19210911008,136979555,JAC,2014,Bege,J3 S turin 1.5 JET Flex 16V 4p Mec.,KIU-8079,94617188031,
Hedul,Feminino,55694267010,151216319,Mercury,1995,Preto,Mystique GS 2.5 V6 Mec.,MZD-5187,60987013495,
Kyoborond,Masculino,42262906076,335184686,Citroen,1998,Marrom,Xantia GLX 2.0 16V Mec.,JIG-1797,46828865157,Encaminhado
Fledio,Feminino,84694171003,357219132,Land Rover,2012,Prata,Range R.EVOQUE Pure 2.0 Aut. 3p,HPR-8902,96529990886,
Ghataim,Masculino,54192555026,165459050,Cross Lander,2003,Marrom,CL-244 2.8 132cv 4x4 TB Int. Diesel,JGZ-0553,99519872230,Encaminhado
Rekihol,Feminino,79290072008,314251005,Troller,2006,Marrom,T-4 4x4 3.0 TB Int. Cap. Lona Diesel,LCZ-5092,31188886176,
Buor,Masculino,20840192061,205097868,VW - VolksWagen,2000,Vermelho,Gol 2.0 Mi 4p,JFG-1229,21781119300,Encaminhado
